$付き関数,String型関数 Trim$ の利用を検討してください.,FileRead.bas,61,関数,ReadKanri,,,,Kanri(1, d_ID).TI1(l_ID) = Trim(SEEKmoji(L, 21, 8))
$付き関数,String型関数 Trim$ の利用を検討してください.,FileRead.bas,62,関数,ReadKanri,,,,Kanri(1, d_ID).TI2(l_ID) = Trim(SEEKmoji(L, 29, 12))
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Enabled の省略を検討してください.,MainForm.frm,96,関数,Label7_DblClick,,,,Timer1.Enabled = False
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Enabled の省略を検討してください.,MainForm.frm,104,関数,Label7_DblClick,,,,Timer1.Enabled = True
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Enabled の省略を検討してください.,MainForm.frm,109,関数,Label9_DblClick,,,,Timer1.Enabled = False
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Enabled の省略を検討してください.,MainForm.frm,117,関数,Label9_DblClick,,,,Timer1.Enabled = True
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Enabled の省略を検討してください.,MainForm.frm,200,関数,Form_Load,,,,Timer1.Enabled = True
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Enabled の省略を検討してください.,MainForm.frm,202,関数,Form_Load,,,,Timer2.Enabled = True
未使用変数,関数のﾛｰｶﾙ変数 ia は未使用です.,MainForm.frm,207,関数,fadd,,,,
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Value の省略を検討してください.,MainForm.frm,278,関数,tmSub,,,,If Check1.Value <> 1 Then keisoku_f = False
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Value の省略を検討してください.,MainForm.frm,279,関数,tmSub,,,,If Check2.Value <> 1 Then kiroku_f = False
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Value の省略を検討してください.,MainForm.frm,329,関数,tmSub,,,,If Check1.Value = 1 Then
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Value の省略を検討してください.,MainForm.frm,341,関数,tmSub,,,,If Check2.Value = 1 Then
未使用変数,関数のﾛｰｶﾙ変数 ret は未使用です.,MainForm.frm,266,関数,tmSub,,,,
Publicｽｺｰﾌﾟ,ﾌｫｰﾑ内にPublicがあります.ｽｺｰﾌﾟを検討してください.,MainForm.frm,358,,,,,,Public Sub DataPrint()
既定ﾌﾟﾛﾊﾟﾃｨ,既定ﾌﾟﾛﾊﾟﾃｨ Caption の省略を検討してください.,MainForm.frm,408,関数,DataPrint,,,,Label10.Caption = kDate
未使用変数,関数のﾛｰｶﾙ変数 FLDno は未使用です.,MainForm.frm,365,関数,DataPrint,,,,
暗黙Variant,引数の型が明記されていません(Variantです).,MainForm.frm,475,,,,,,Dim sa, sb As String
未使用関数,関数 AddMaster は未使用ﾌﾟﾛｼｰｼﾞｬの可能性があります.,MainForm.frm,471,関数,AddMaster,,,,
ﾓｼﾞｭｰﾙ変数,ﾓｼﾞｭｰﾙﾚﾍﾞﾙ変数 Lebel_time は未使用変数です.,MainModule.BAS,114,,,,,,
ﾓｼﾞｭｰﾙ変数,ﾓｼﾞｭｰﾙﾚﾍﾞﾙ変数 Lebel_intv は未使用変数です.,MainModule.BAS,115,,,,,,
ﾓｼﾞｭｰﾙ変数,ﾓｼﾞｭｰﾙﾚﾍﾞﾙ変数 LogDir は未使用変数です.,MainModule.BAS,147,,,,,,
ﾓｼﾞｭｰﾙ変数,ﾓｼﾞｭｰﾙﾚﾍﾞﾙ変数 KeisokuCO は未使用変数です.,MainModule.BAS,150,,,,,,
ﾓｼﾞｭｰﾙ変数,ﾓｼﾞｭｰﾙﾚﾍﾞﾙ変数 RSlog は未使用変数です.,MainForm.frm,36,,,,,,
ﾓｼﾞｭｰﾙ変数,ﾓｼﾞｭｰﾙﾚﾍﾞﾙ変数 seigen は未使用変数です.,MainForm.frm,43,,,,,,
ﾓｼﾞｭｰﾙ変数,ﾓｼﾞｭｰﾙﾚﾍﾞﾙ変数 LOGFILE はPublicですがPrivate使用です.,MainModule.BAS,148,,,,,,
